slug,title,authors,date
february-5th-digital-dialogue-marilee-lindemann-on-the-internet-everybody-thinks-im-a-dog,"2/5 MITH Digital Dialogue: Marilee Lindemann, ""On the Internet, Everybody Thinks I'm a Dog""",Digital Dialogues,1/28/2008 10:44
cfp-digital-humanities-and-african-americanafrican-diaspora-studies-conference,CFP: Digital Humanities and African American/African Diaspora Studies Conference,MITH,1/24/2008 13:38
reposted-three-ga-positions-at-mith,Reposted: Three GA Positions at MITH,MITH,12/4/2007 12:00
a-new-digital-humanities-blog,A New Digital Humanities Blog,MITH,11/30/2007 12:00
december-4th-digital-dialogue-matthew-kirschenbaum-and-john-murray-save-as-receiving-the-larsen-collection,12/4 MITH Digital Dialogue: Matthew Kirschenbaum and John Murray,Digital Dialogues,11/29/2007 12:00
new-spring-course-on-digital-humanities,New Spring Course on Digital Humanities,MITH,11/26/2007 15:26
november-27th-digital-dialogue-linda-frueh-the-internet-archive-and-the-digital-humanities,"11/27 MITH Digital Dialogue: Linda Frueh, ""The Internet Archive and the Digital Humanities""",Digital Dialogues,11/23/2007 15:26
november-13th-digital-dialogue-stephan-greene-and-philip-resnik-the-linguistics-of-spin,11/13 MITH Digital Dialogue: Stephan Greene and Philip Resnik,Digital Dialogues,11/8/2007 15:25
adjustments-to-digital-dialogues-schedule,Adjustments to Digital Dialogues Schedule,Digital Dialogues,11/2/2007 15:24
mith-welcomes-tei20,MITH Welcomes TEI@20,MITH,10/24/2007 13:57
roy-rosenzweig-1950-2007,"Roy Rosenzweig, 1950-2007",MITH,10/13/2007 11:48
october-16th-digital-dialogue-brett-bobley-a-candid-chat-about-the-nehs-digital-humanities-initiative,10/16 Digital Dialogue: Brett Bobley,Digital Dialogues,10/11/2007 5:39
mith-partners-with-rice-on-million-dollar-grant-for-our-americas-archive,MITH Partners with Rice on Million Dollar Grant for Our Americas Archive,MITH,10/8/2007 12:46
october-9th-digital-dialogue-paul-e-ceruzzi-from-arpanet-to-the-internet-how-a-military-project-became-a-world-wide-cultural-phenomenon-1970-1995,10/9 Digital Dialogue: Paul E. Ceruzzi,Digital Dialogues,10/3/2007 17:46
october-2nd-digital-dialogue-david-saltz-simulating-liveness-from-virtual-vaudeville-to-second-life,10/2 Digital Dialogue: David Saltz,Digital Dialogues,9/27/2007 9:08
september-25-digital-dialogue-john-tolva-architecting-cultural-spaces-case-studies-of-virtual-representation-in-the-humanities,9/25 Digital Dialogue: John Tolva,Digital Dialogues,9/19/2007 22:56
sept-18th-digital-dialogue-chris-funkhouser-digital-poetry-as-scrabble-making-from-given-materials,9/18 Digital Dialogue: Chris Funkhouser,Digital Dialogues,9/12/2007 21:33
fellows,Current Resident Fellows,MITH,9/12/2007 16:05
911-digital-dialogue-tanya-clement-using-digital-tools-to-not-read-gertrude-steins-the-making-of-americans,9/11 Digital Dialogue: Tanya Clement,Digital Dialogues,9/4/2007 10:18
fall-2007-digital-dialogues-schedule,Fall 2007 Digital Dialogues Schedule,Digital Dialogues,8/31/2007 14:38
chicago-colloqium-on-digital-humanities-and-computer-science,Chicago Colloqium on Digital Humanities and Computer Science,MITH,8/23/2007 14:03
were-hiring-full-time-ga-positions,We're Hiring: Full-Time GA Positions Available,MITH,8/14/2007 14:47
mith-receives-neh-digital-humanities-start-up-grant,MITH Receives NEH Digital Humanities Start-Up Grant,MITH,8/14/2007 12:24
kirschenbaum-in-the-chronicle,Kirschenbaum in the Chronicle,MITH,8/14/2007 12:22
researchers-at-mith-partner-to-preserve-virtual-worlds,Researchers at MITH Partner to Preserve Virtual Worlds,MITH,8/6/2007 15:43
centernet-web-site-opens,centerNet Web Site Opens,MITH,7/5/2007 18:24
mith-to-host-digital-humanities-2009-conference,MITH to Host Digital Humanities 2009 Conference,MITH,6/12/2007 10:01
mith-and-maryland-at-digital-humanities-2007,MITH and Maryland at Digital Humanities 2007,MITH,6/11/2007 13:20
mith-fellow-angel-david-nieves-presents-research,MITH Fellow Angel David Nieves Presents Research,MITH,5/23/2007 12:54
mith-fellow-merle-collins-presents-research,MITH Fellow Merle Collins Presents Research,MITH,5/23/2007 10:27
call-for-participation-in-an-international-network-of-digital-humanities-centers,Call for Participation in an International Network of Digital Humanities Centers,MITH,4/24/2007 9:56
stan-ruecker-at-hcil,Stan Ruecker at HCIL,MITH,4/22/2007 18:17
april-17th-digital-dialogue-angel-david-nieves-and-merle-collins-2006-07-fellows-presentations,4/17 Digital Dialogue: 2006-07 Fellows Presentations,Digital Dialogues,4/11/2007 10:34
mith-is-hiring-12-month-ga-positions,MITH is Hiring: 12-month GA Position(s),MITH,4/7/2007 11:48
april-10th-digital-dialogue-kate-murray-presents-developing-digital-curation-policies-in-a-local-context,4/10 Digital Dialogue: Kate Murray,Digital Dialogues,4/4/2007 13:35
april-3rd-digital-dialogue-randy-bass-visible-evidence-of-invisbile-learning,4/3 Digital Dialogue: Randy Bass,Digital Dialogues,3/29/2007 13:04
directors-of-national-digital-humanities-centers-to-hold-summit-meeting-at-neh,Press Release: Directors of National Digital Humanities Centers to Hold Summit Meeting at NEH,MITH,3/28/2007 7:52
march-28th-and-29th-brad-paley-at-maryland,Brad Paley at Maryland,MITH,3/20/2007 9:42
